subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3
1	2	1	54	666.389	637.285	640.081	641.959	nan	nan	8,8,8,	642.101,642.367,642.986,	8	644.961	81.75	122.32	66.83	223.87	1.812	1.879	2.733
1	2	1	55	666.389	647.713	649.467	650.13	nan	nan	8,8,	650.475,651.317,	8	653.132	54.64	122.32	66.83	183.02	0.77	0.664	3.891
1	2	1	56	666.389	657.043	659.201	660.096	nan	nan	9,9,	661.621,661.911,	9	663.097	81.75	183.02	66.83	223.87	1.175	0.895	2.945
1	2	1	57	666.389	666.062	668.968	670.307	nan	nan	9,9,9,	670.863,671.140,671.423,	9	673.308	81.75	183.02	54.64	223.87	1.923	1.339	3.826
1	2	1	58	666.389	677.155	679.612	680.222	nan	nan	8,8,8,	680.894,681.218,681.505,	8	683.224	54.64	122.32	44.67	149.62	1.474	0.611	2.669
1	2	1	59	666.389	685.912	688.529	689.361	nan	nan	9,9,9,	690.634,690.907,691.152,	9	692.362	66.83	183.02	81.75	122.32	1.633	0.833	3.498
1	2	1	60	666.389	695.882	698.825	699.454	nan	nan	8,8,	700.785,701.202,	8	702.456	66.83	122.32	44.67	149.62	1.961	0.63	3.704
1	2	1	61	666.389	706.18	708.188	708.92	nan	nan	9,	710.806,	9	711.921	66.83	149.62	54.64	183.02	1.026	0.732	2.27
1	2	1	62	666.389	714.211	717.01	717.746	nan	nan	8,8,8,	718.701,719.028,719.616,	8	720.748	81.75	122.32	44.67	149.62	1.817	0.736	2.83
1	2	1	63	666.389	723.598	725.359	726.703	nan	nan	9,9,	727.101,727.395,	9	729.705	81.75	122.32	54.64	223.87	0.78	1.344	2.418
1	2	1	64	666.389	732.143	734.397	735.002	nan	nan	9,9,9,9,9,	735.789,736.092,736.374,736.650,736.940,	9	738.004	54.64	122.32	44.67	183.02	1.272	0.606	3.312
1	2	1	65	666.389	741.336	743.522	745.237	nan	nan	9,9,9,9,	745.575,745.807,746.046,746.869,	9	748.239	66.83	183.02	44.67	223.87	1.204	1.715	2.74
1	2	1	66	666.389	750.999	753.672	754.23	nan	nan	8,8,8,8,	754.410,754.663,754.934,755.321,	8	757.231	81.75	122.32	44.67	223.87	1.691	0.558	2.186
1	2	1	67	666.389	759.438	761.996	762.558	nan	nan	8,8,8,	763.488,763.803,764.089,	8	765.56	81.75	122.32	66.83	149.62	1.576	0.563	2.469
1	2	1	68	666.389	768.05	770.028	771.69	nan	nan	9,9,9,9,9,9,9,	772.123,772.390,772.628,772.885,773.138,773.378,773.605,	9	774.692	66.83	122.32	44.67	183.02	0.997	1.662	3.132
1	2	1	69	666.389	777.845	779.389	780.815	nan	nan	9,9,9,9,9,	781.121,781.371,781.665,781.969,782.208,	9	783.816	81.75	183.02	44.67	223.87	0.563	1.426	2.109
1	2	1	70	666.389	785.947	788.151	788.916	nan	nan	9,9,9,9,	789.803,790.158,790.451,790.713,	9	791.918	54.64	149.62	44.67	223.87	1.223	0.765	3.383
